source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Freerepublic.com'}",AP News,Oz pledges to fight health care fraud but makes no commitments on Medicaid funding cuts,WASHINGTON (AP) — Dr. Mehmet Oz promised senators on Friday to fight health care fraud and push to make Americans healthier if he becomes the next leader of the Centers for Medicare and Medicaid Services. But the former heart surgeon and TV personality dodged…,https://freerepublic.com/focus/f-chat/4304304/posts,,2025-03-14T19:14:48Z,"Skip to comments.
Oz pledges to fight health care fraud but makes no commitments on Medicaid funding cutsAP News ^
 | March 14, 2025
 | AMANDA SEITZ and TOM MURPHY
Posted on 03/14/2025 12:14:48 P… [+1554 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",E.J. Antoni,The left thinks Trump's tariffs are a declaration of war. But they're clueless about the battlefield,"President Trump is using leverage to simultaneously level the playing field for American industry, raise revenue, secure investment and boost employment of Americans.",https://www.foxnews.com/opinion/left-thinks-trumps-tariffs-declaration-war-theyre-clueless-about-battlefield,https://static.foxnews.com/foxnews.com/content/uploads/2025/03/donald-trump-fist-pump.jpg,2025-03-14T19:12:10Z,"Join Fox News for access to this content
Plus special access to select articles and other premium content with your account - free of charge.
By entering your email and pushing continue, you are ag… [+5554 chars]"
"{'id': None, 'name': 'Complex'}",Trace William Cowen,Kering Shares Take Hit After Demna Announced as Gucci's New Artistic Director,Can Demna turn Gucci around after seeing a polarizing level of success with Balenciaga?,https://www.complex.com/style/a/tracewilliamcowen/kering-shares-demna-gucci,"https://images.complex.com/complex/image/upload/ar_1.91,c_fill,g_auto,q_auto,w_1200/v1741974769/demna_in_all_black_on_runway_vhmtyi",2025-03-14T19:11:22Z,"Kering shares took a hit this week after Gucci announced that Balenciagas Demna would be stepping into the role of Artistic Director, effective this July.
Per a report from Reuters, which also point… [+1364 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Bureau,Tamil Nadu Budget: Focus on manufacturing and sustainable growth,"Finance Minister Thangam Thennarasu presented Tamil Nadu's fifth state budget under the DMK government, emphasizing manufacturing as crucial for employment. The state excels in electronics and EV manufacturing, with electronics exports projected to exceed $12…",https://economictimes.indiatimes.com/news/politics-and-nation/tamil-nadu-budget-focus-on-manufacturing-and-sustainable-growth/articleshow/119021725.cms,"https://img.etimg.com/thumb/msid-119021714,width-1200,height-630,imgsize-6906,overlay-economictimes/articleshow.jpg",2025-03-14T19:06:18Z,Finance Minister Thangam Thennarasu presented the DMK governments fifth state budget since coming to power in 2021 under chief minister MK Stalin. This is Thennarasus second budget after taking over … [+942 chars]
"{'id': 'the-irish-times', 'name': 'The Irish Times'}",Derek Scally,Munich tightens security measures for St Patrick’s Day parade,Event comes a month after two died in a car attack in the city,https://www.irishtimes.com/world/europe/2025/03/14/munich-tightens-security-measures-for-st-patricks-day-parade/,https://www.irishtimes.com/resizer/v2/P6R7YTDDZ2JJYLYORS2H4JJTCQ.jpg?smart=true&auth=56b66490abc004c09d29ab7b61f7cfa683b4ebf6e9ccc62111e473b6123cc264&width=1200&height=630,2025-03-14T19:00:01Z,"Munich has stepped up security for Sundays St Patricks Day Parade, a month after a car attack on a march in the city left two dead and injured 39.
The St Patricks Day parade attracted at least 80,00… [+2885 chars]"
"{'id': None, 'name': 'Cointelegraph'}",Cointelegraph by Zoltan Vardai,"US House kills IRS DeFi broker rule, Solana won’t cut 80% inflation rate: Finance Redefined","In a significant regulatory development for the crypto industry, the United States House of Representatives voted to nullify a bill that threatened the privacy-preserving properties of decentralized finance (DeFi) protocols.In the wider crypto space, one of t…",https://cointelegraph.com/news/us-house-kills-irs-de-fi-broker-rule-solana-won-t-cut-80-inflation-rate,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2025-01/019422b5-3dbb-790b-ad21-bfb1981d076a",2025-03-14T19:00:00Z,"In a significant regulatory development for the crypto industry, the United States House of Representatives voted to nullify a bill that threatened the privacy-preserving properties of decentralized … [+6899 chars]"
"{'id': None, 'name': 'Raw Story'}","Carl Gibson, AlterNet",'Eternally uncool': Pam Bondi brutally mocked after threatening to jail Tesla protesters,The ongoing protests at Tesla dealerships — the electric vehicle company led by South African billionaire Elon Musk — appear to be getting under the skin of President Donald Trump's administration.The website TeslaTakedown.com has become a hub for people seek…,https://www.rawstory.com/eternally-uncool-pam-bondi-brutally-mocked-after-threatening-to-jail-tesla-protesters/,https://www.rawstory.com/media-library/file-photo-former-florida-attorney-general-pam-bondi-speaks-during-a-press-conference-by-supporters-of-former-u-s-president-do.jpg?id=54966241&width=1200&height=600&coordinates=0%2C416%2C0%2C417,2025-03-14T18:57:43Z,"The ongoing protests at Tesla dealerships the electric vehicle company led by South African billionaire Elon Musk appear to be getting under the skin of President Donald Trump's administration.
The … [+3068 chars]"
"{'id': None, 'name': 'TODAY'}",Georgina DiNardo,Patrick Schwarzenegger on watching NSFW ‘White Lotus’ scenes with his family: ‘No rules’,"Patrick Schwarzenegger says his family hasn't set any rules for watching ""The White Lotus"" together, and shared Arnold Schwarzenegger and Maria Shriver's reactions.",https://www.today.com/popculture/tv/patrick-schwarzenegger-white-lotus-nsfw-scenes-family-rcna196329,"https://media-cldnry.s-nbcnews.com/image/upload/t_social_share_1200x630_center,f_auto,q_auto:best/rockcms/2025-03/Patrick-Schwarzenegger-mc-250314-03-e079ef.jpg",2025-03-14T18:55:06Z,"Warning: This post contains spoilers for Season 3 of ""The White Lotus.""
If you've been watching Season 3 of ""The White Lotus,"" you've probably seen a little bit more of certain cast members than you… [+4814 chars]"
"{'id': None, 'name': 'Rolling Stone'}",Nikkimccannramirez,Dr. Oz Won’t Commit To Protecting Medicaid,"During his confirmation hearing, the celebrity doctor dodged questions about his plans for public services that provide healthcare to millions",http://www.rollingstone.com/politics/politics-news/dr-oz-protecting-medicaid-senate-hearing-1235296719/,https://www.rollingstone.com/wp-content/uploads/2025/03/dr-oz-hearing.jpg?crop=0px%2C49px%2C1798px%2C1014px&resize=1600%2C900,2025-03-14T18:54:16Z,"The Department of Health and Human Services is already headed by a vaccine skeptic, and the Trump administration would like to install a TV doctor to run the nation’s most vital health care systems. … [+3542 chars]"
"{'id': None, 'name': 'National Post'}","Stephanie Taylor , Stuart Thomson","Out with women and gender, in with 'Canadian identity' in new Carney cabinet","Carney unveiled his picks for cabinet in a swearing in ceremony at Rideau Hall on Friday, five days after winning the leadership of the Liberal party",https://nationalpost.com/news/politics/out-with-women-and-gender-carney-cabinet,https://smartcdn.gprod.postmedia.digital/nationalpost/wp-content/uploads/2025/03/2204531357_294110560.jpg,2025-03-14T18:44:36Z,"Carney unveiled his picks for cabinet in a swearing in ceremony at Rideau Hall on Friday, five days after winning the leadership of the Liberal party
Mark Carney officially signs the Oath Book and t… [+8190 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",Alec Schemmel,Dr. Oz bats back Democratic attempts to paint him as a 'snake oil' salesman in Senate hearing,"Dr. Mehmet Oz, President Donald Trump's pick to lead the Centers for Medicare and Medicaid, was slammed for promoting 'snake oil remedies' during a Friday confirmation hearing on Capitol Hill.",https://www.foxnews.com/politics/oz-bats-back-dem-attempts-paint-him-snake-oil-salesman,https://static.foxnews.com/foxnews.com/content/uploads/2025/03/ap25073536618920-scaled.jpg,2025-03-14T18:41:15Z,"Dr. Mehmet Oz was slammed by his detractors during a Senate confirmation hearing Friday on Capitol Hill for promoting unproven alternative health treatments with one Democrat calling it the ""most lud… [+3243 chars]"
"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Al Jazeera,"Mark Carney sworn in as Canada’s new prime minister, replacing Trudeau",The former central banker has promised to deliver 'action' as country faces hostility on trade from the United States.,https://www.aljazeera.com/news/2025/3/14/mark-carney-sworn-in-as-canadas-new-prime-minister-replacing-trudeau,https://www.aljazeera.com/wp-content/uploads/2025/03/AFP__20250314__372B8F8__v1__HighRes__CanadaPoliticsCarney-1741968598.jpg?resize=1920%2C1440,2025-03-14T18:40:37Z,"Mark Carney has been sworn in as the new prime minister of Canada, ending Justin Trudeaus nearly 10-year tenure in the role.
The 59-year-old ex-central banker took the oath of office on Friday, nami… [+6158 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Bureau,TN govt packs largesse for flagship welfare schemes,"The MK Stalin-led DMK government presented its budget for 2025-26, emphasizing its commitment to inclusive growth with substantial allocations for women's welfare and industrial development. Notably, the fare-free bus travel scheme for women and the Kalaignar…",https://economictimes.indiatimes.com/news/politics-and-nation/tn-govt-packs-largesse-for-flagship-welfare-schemes/articleshow/119021160.cms,"https://img.etimg.com/thumb/msid-119021177,width-1200,height-630,imgsize-7764,overlay-economictimes/articleshow.jpg",2025-03-14T18:37:43Z,"The MK Stalin-led DMK regime on Friday presented its budget for 2025-26 in the Assembly ahead of the state election next year and made large allocations for several of its flagship welfare schemes, p… [+3143 chars]"
"{'id': None, 'name': 'CoinDesk'}",Oliver Knight,Cardano: Deep Dive on the Trump Reserve Token Whose Blockchain Ignores TVL,The Cardano Foundation measures growth in real-world use cases and not TVL.,https://www.coindesk.com/business/2025/03/11/cardano-deep-dive-into-one-of-trump-s-reserve-tokens-and-a-blockchain-that-ignores-tvl,https://cdn.sanity.io/images/s3y3vcno/production/46eab9d9d394e11bb0a87ec45889b24f8aeff3d4-4076x3057.jpg?auto=format,2025-03-14T18:37:17Z,"Trading volumes for Cardano's ADA token have exploded of late with daily figures averaging around $720 million in February while exceeding an average of $1.4 billion in March.
This rise was spurred … [+4559 chars]"
"{'id': None, 'name': 'Slashdot.org'}",feedfeeder,China blasts ‘spineless’ plan to sell Panama Canal ports to BlackRock - CNN,China blasts ‘spineless’ plan to sell Panama Canal ports to BlackRockCNN China Condemns CK Hutchison-BlackRock Panama Canal DealThe New York Times Escalation With Panama Exposes Finance Firms’ Role in US Rivalry With ChinaTruthout Another company is caught in…,https://slashdot.org/firehose.pl?op=view&amp;id=176717891,,2025-03-14T18:33:17Z,"""Consequences, Schmonsequences, as long as I'm rich.""
-- Looney Tunes, Ali Baba Bunny (1957, Chuck Jones)"
"{'id': None, 'name': 'Washington Free Beacon'}",Alana Goodman,"US Export Bank Quietly Approves $5 Billion Loan to French Company With Ties to Foreign Adversaries, Sparking Conservative Criticism","A federal agency quietly approved a $5 billion loan on Thursday to fund a liquefied natural gas facility in Mozambique owned by TotalEnergies, a French company that has a history of working with foreign adversaries, including Iran, Russia, and China. The U.S.…",https://freebeacon.com/national-security/us-export-bank-quietly-approves-5-billion-loan-to-french-company-with-ties-to-foreign-adversaries-sparking-conservative-criticism/,https://freebeacon.com/wp-content/uploads/2025/03/petrol-shortage-in-france-as-main-union-continues-strike-scaled.jpg,2025-03-14T18:30:33Z,"A federal agency quietly approved a $5 billion loan on Thursday to fund a liquefied natural gas facility in Mozambique owned by TotalEnergies, a French company that has a history of working with fore… [+4773 chars]"
"{'id': None, 'name': 'Motley Fool Australia'}",Steve Holland,Can Nine's new CEO lead a turnaround?,"It hasn’t been a great year for the stock. 
The post Can Nine's new CEO lead a turnaround? appeared first on The Motley Fool Australia.",https://www.fool.com.au/2025/03/15/can-nines-new-ceo-lead-a-turnaround/,https://www.fool.com.au/wp-content/uploads/2021/11/GettyImages-655182338-1-1200x675.jpg,2025-03-14T18:30:00Z,"The leadership team at Nine Entertainment Co Holdings Ltd (ASX: NEC) fell apart last year.
Former chairman Peter Costello threw in the towel soon after facing accusations of assaulting a journalist … [+2580 chars]"
"{'id': None, 'name': 'Cointelegraph'}",Cointelegraph by David Feliba,Growth in Bitcoin and stablecoin adoption could accelerate dedollarization,The US dollar has long reigned as the world’s primary reserve currency and the default choice for global trade and international transactions. But its dominance is now facing growing scrutiny as shifting geopolitical and economic forces—and concerns over the …,https://cointelegraph.com/news/growth-in-bitcoin-and-stablecoin-adoption-could-accelerate-dedollarization,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2025-03/01957207-ea02-7735-9cf3-863d6e9bc9ee",2025-03-14T18:30:00Z,The US dollar has long reigned as the worlds primary reserve currency and the default choice for global trade and international transactions. But its dominance is now facing growing scrutiny as shift… [+8002 chars]
"{'id': None, 'name': 'STLtoday.com'}",Kacen Bayless | The Kansas City Star (TNS),"Missouri lawmaker accused in a lawsuit of assault countersues, saying she’s been defamed","A lawsuit filed in Jackson County Circuit Court in late October 2024 alleges Missouri state Sen. Barbara Washington, a Democrat who represents southeastern Kansas City and Jackson County, held on to a woman during an election event on Nov. 8,…",https://www.stltoday.com/news/local/government-politics/article_7ab68934-00f6-11f0-988f-abc96bb5f36c.html,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/f/b3/fb358980-0712-53b3-97b3-b7473aa88075/67914d3065023.image.jpg?crop=1751%2C919%2C0%2C131&resize=1200%2C630&order=crop%2Cresize,2025-03-14T18:30:00Z,"Missouri State Sen. Barbara Washington addresses witnesses on Wednesday, Jan. 22, 2025, during a Senate Transportation, Infrastructure and Public Safety Committee hearing. The committee was discussin… [+7155 chars]"
"{'id': None, 'name': 'Longreads.com'}",Carolyn Wells,Are Men in a Spermpocalypse?,"""One man journeys through the many movements—sci-fi startups, DIY donor clubs, group masturbation retreats—urgently attempting to address the 'crisis in sperm.'""",http://longreads.com/2025/03/14/are-men-in-a-spermpocalypse/,,2025-03-14T18:25:57Z,"In this essay, Rosecrans Baldwin comprehensively covers all things sperm: sperm counts, sperm quality, sperm donors, embryonic selection, and IVF. He even looks to the future with IVG, or in vitro ga… [+2484 chars]"
"{'id': None, 'name': 'CryptoSlate'}",Gino Matos,Tether to benefit greatly from current US stablecoin regulation,Galaxy head of research Alex Thorn believes the GENIUS Act could favor Tether by allowing it to operate under relatively flexible conditions. Thorn assessed that the bill would open a pathway for Tether to register onshore but would not require it to do so to…,https://cryptoslate.com/tether-to-benefit-greatly-from-current-us-stablecoin-regulation/,https://cryptoslate.com/wp-content/uploads/2025/03/stablecoin-regulation.jpg,2025-03-14T18:24:48Z,"Galaxy head of research Alex Thorn believes the GENIUS Act could favor Tether by allowing it to operate under relatively flexible conditions.
Thorn assessed that the bill would open a pathway for Te… [+4182 chars]"
"{'id': None, 'name': 'TheWrap'}",Alex Kantrowitz,Scale AI CTO: AI Isn’t Taking Your Job Anytime Soon,"AI isn’t yet measuring up to benchmarks Scale set for human-level adeptness in fields like law, finance, and education
The post Scale AI CTO: AI Isn’t Taking Your Job Anytime Soon appeared first on TheWrap.",https://www.thewrap.com/scale-ai-cto-ai-isnt-taking-your-job-anytime-soon/,https://www.thewrap.com/wp-content/uploads/2025/03/61dd6333-9371-46a4-8f37-64540d2cdff7_1312x714.webp,2025-03-14T18:24:37Z,Scale AI is working to bring artificial intelligence up to human-level proficiency by having deeply skilled humans teach it what they know. The companys contributor network is made up of 12% PhDs and… [+420 chars]
"{'id': 'cbs-news', 'name': 'CBS News'}",Angelica Leicht,How to earn 3% or more on your checking and savings accounts now,"Today's high-rate environment is tough for borrowers, but it can pay off for savers who make a few smart moves.",https://www.cbsnews.com/news/how-to-earn-3-or-more-on-your-checking-and-savings-accounts-now/,https://assets3.cbsnewsstatic.com/hub/i/r/2025/03/14/75991ee2-2905-492a-be28-fc269434dc5d/thumbnail/1200x630/022813ec83f83f3fa18507d551ba8877/gettyimages-2199168586.jpg?v=e7f44f50e1cf6b32bb81cbfeaec70acf,2025-03-14T18:24:18Z,"There are some simple strategies you can use to earn big returns on the money in your checking and savings accounts right now.
Andrii Yalanskyi/Getty Images
It wasn't that long ago that earning mea… [+5555 chars]"
"{'id': 'cbs-news', 'name': 'CBS News'}",Matt Richardson,"Is a $100,000 home equity loan a good idea now?","For some homeowners, a $100,000 home equity loan offers an advantageous way to borrow a large sum now. Here's why.",https://www.cbsnews.com/news/is-100000-home-equity-loan-a-good-idea-now/,https://assets1.cbsnewsstatic.com/hub/i/r/2025/03/14/a977dda5-0522-498f-b9f0-c27e8d5b6ea3/thumbnail/1200x630/051c8fdaa732826bda85818aa56cf725/gettyimages-1409050938.jpg?v=e7f44f50e1cf6b32bb81cbfeaec70acf,2025-03-14T18:21:31Z,"A $100,000 home equity loan offers borrowers one of the cheaper ways to borrow a six-figure sum of money right now.
Getty Images
Borrowing money is always fraught with concerns and questions but es… [+4078 chars]"
"{'id': 'nbc-news', 'name': 'NBC News'}","Dan Avery, CNBC",5 ways seniors can tackle credit card debt,"A new AARP survey suggests nearly half (47%) of adults 50 and older who carry credit card debt use their cards to pay for necessities like health care, car payments and housing.",https://www.nbcnews.com/business/personal-finance/5-ways-seniors-can-tackle-credit-card-debt-rcna196493,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-03/250314-credi-card-aa-211-65e869.jpg",2025-03-14T18:14:44Z,"A new AARP survey suggests nearly half (47%) of adults 50 and older who carry credit card debt use their cards to pay for necessities like health care, car payments and housing.
Some 17% admitted th… [+5641 chars]"
"{'id': None, 'name': 'PBS'}","Rob Gillies, Associated Press",Carney sworn in as Canada’s new prime minister as country deals with Trump’s trade war,"Former central banker Mark Carney was sworn in as Canada’s new prime minister on Friday, and will now try to steer his country through a trade war brought by U.S. President Donald Trump, annexation threats and an expected federal election.",https://www.pbs.org/newshour/world/carney-sworn-in-as-canadas-new-prime-minister-as-country-deals-with-trumps-trade-war,https://d3i6fh83elv35t.cloudfront.net/static/2025/03/2025-03-14T165848Z_1821271498_RC24DDA7BIEY_RTRMADP_3_CANADA-POLITICS-CARNEY-1024x683.jpg,2025-03-14T18:13:54Z,"TORONTO (AP) Former central banker Mark Carney was sworn in as Canadas new prime minister on Friday, and will now try to steer his country through a trade war brought by U.S. President Donald Trump, … [+3973 chars]"
"{'id': 'time', 'name': 'Time'}",ROB GILLIES / AP,Mark Carney Is Sworn in as Canada’s New Prime Minister as Country Deals With Trump’s Trade War,"Mark Carney replaces Justin Trudeau, who announced his resignation in January but remained in power until the Liberal Party elected a new leader.",https://time.com/7268420/mark-carney-sworn-in-canada-new-prime-minister-trump-trade-war/,https://api.time.com/wp-content/uploads/2025/03/AP25073560505565.jpg?quality=85&w=1200&h=628&crop=1,2025-03-14T18:10:46Z,"TORONTO Former central banker Mark Carney was sworn in as Canadas new prime minister on Friday, and will now try to steer his country through a trade war brought by U.S. President Donald Trump, annex… [+3921 chars]"
"{'id': None, 'name': 'TheWrap'}",Sean Burch,Justine Bateman Says Trump and Musk Should Use $100 Million of DOGE Savings to Start American Film Fund,"The filmmaker tells TheWrap that spending on original movies would show the world that ""America's back""
The post Justine Bateman Says Trump and Musk Should Use $100 Million of DOGE Savings to Start American Film Fund appeared first on TheWrap.",https://www.thewrap.com/trump-musk-use-doge-to-fund-american-movies-justine-bateman/,https://www.thewrap.com/wp-content/uploads/2025/02/Musk_ovaloffice.png,2025-03-14T18:10:37Z,"MAMGA: Make American Movies Great Again. 
It might not roll off the tongue as easily as MAGA, but filmmaker Justine Bateman is calling on President Trump to help make it happen. Her proposal: Take a… [+3457 chars]"
"{'id': 'the-irish-times', 'name': 'The Irish Times'}",,Mark Carney sworn in as Canada’s prime minister and prepares to fight Trump tariffs,‘We’re building a government that meets the moment’: Former central banker reshapes cabinet to deal with Washington,https://www.irishtimes.com/world/2025/03/14/mark-carney-sworn-in-as-canadas-prime-minister-and-prepares-to-fight-trump-tariffs/,https://www.irishtimes.com/resizer/v2/WMUSUGZFAHF4AK3556FWRQD3SI.jpg?smart=true&auth=c38d7168cd4e4401062bc11fe9f388b4082a172295c37679dc9491b3de2a39ca&width=1200&height=630,2025-03-14T18:06:06Z,"Ex-central banker Mark Carney was formally sworn in as prime minister of Canada on Friday, putting him in a position to fight tariffs from US president Donald Trump that could devastate the trade-dep… [+3209 chars]"
"{'id': None, 'name': 'Historytoday.com'}",History Today,Forget 1215 And “Bad King John” — Here’s The Real Magna Carta,"The “Great Charter” signed by John of England and his barons lasted less than three months before they were back at war with each other; new versions were issued in 1216 and 1217 by John’s successor, nine-year-old Henry III. But it’s the revision of 1225 that…",https://www.historytoday.com/archive/history-matters/real-magna-carta,http://www.historytoday.com/sites/default/files/styles/large/public/2025-02/magna_carta_1225_history_today_1.jpeg?itok=Ijgol3UC,2025-03-14T18:04:00Z,The Magna Carta of 1215 is celebrated globally as the foundation of modern liberties and rights for its stipulation of equality before the law and its placing of monarchs and rulers under it. However… [+5480 chars]
"{'id': None, 'name': 'Ritholtz.com'}",Barry Ritholtz,MiB: Stephanie Kelton on US Fiscal Policy and the ‘Deficit Myth’,"This week, I speak with Stephanie Kelton, Professor of Economics and Public Policy at Stony Brook University and Senior Fellow at the Schwartz Center for Economic Policy Analysis. We discuss US fiscal policy, recession risks, and her New York Times bestseller…",https://ritholtz.com/2025/03/mib-stephanie-kelton/,https://ritholtz.com/wp-content/uploads/2023/02/Mib-tile.png,2025-03-14T18:00:34Z,"This week, I speak with Stephanie Kelton, Professor of Economics and Public Policy at Stony Brook University and Senior Fellow at the Schwartz Center for Economic Policy Analysis. We discuss US fisca… [+1741 chars]"
